Id,Name,Age,Gender
1,Aamir Khan,57,M
2,Gracy Singh,42,F
3,Shia LaBeouf,36,M
4,Megan Fox,36,F
5,Tyrese Gibson,43,M
6,Johnny Depp,59,M
7,Keira Knightley,37,F
8,Salman Khan,56,M
9,Preity Zinta,47,F
10,Rani Mukerji,44,F
11,Denzel Washington,67,M
12,Lymari Nadal,44,F
13,KaDee Strickland,46,F
14,Seth Rogen,40,M
15,Katherine Heigl,44,F
16,Leslie Mann,50,F
17,Paul Rudd,53,F
18,Tabu,52,F
19,Atul Kulkarni,57,F
20,Amy Adams,48,F
21,Rachel Covey,24,F
22,Will Ferrell,55,M
23,Amy Poehler,51,F
24,Nicolas Cage,58,M
25,Eva Mendes,48,F
26,Amitabh Bachchan,80,M
27,Hema Malini,74,F
28,Paresh Rawal,67,M
29,Shah Rukh Khan,57,M
30,Cameron Diaz,50,F
31,Ashton Kutcher,44,M
32,Brad Pitt,58,M
33,Cate Blanchett,53,F
34,David Fincher,60,M
35,Mark Wahlberg,51,M
36,Zooey Deschanel,42,F
37,Chris Evans,41,M
38,Forest Whitaker,61,M
39,Akshay Kumar,55,M
40,Lara Dutta,44,F
41,Priyanka Chopra,40,F
42,Saif Ali Khan,52,M
43,Sean Faris,40,F
44,Cam Gigandet,40,F
45,Amber Heard,36,F
46,Drew Barrymore,47,F
47,Elliot Page,35,F
48,Kristen Wiig,49,F
49,Morris Chestnut,53,M
50,Kevin Hart,43,M
51,Sam Worthington,46,M
52,Liam Neeson,70,M
53,Akshaye Khanna,47,M
54,Tom Cruise,50,F
55,Eric Balfour,45,M
56,Scottie Thompson,41,F
57,Crystal Reed,43,F
58,Juhi Chawla,55,F
59,Anushka Sharma,34,F
60,Sanjay Dutt,63,M
61,Imran Khan,39,M
62,Mithun Chakrobarty72,72,M
63,Ajay Devgn,53,M
64,Kareena Kapoor,42,F
65,Aftab Shivdasani,44,M
66,Bipasha Basu,43,F
67,Karan Singh Grover,40,M
68,Deepika Padukone,36,F
69,Hayley Atwell,40,F
70,Chris Hemsworth,39,M
71,Natalie Portman,41,F
72,Chris Pratt,43,M
73,Emily Blunt,39,F
74,Zac Efron,35,M
75,Rose Byrne,43,F
76,Patrick Wilson,49,M
77,Vera Farmiga,49,F
78,Robert Downey Jr.,57,M
79,Scarlett Johnson,38,F
80,Mark Ruffalo,55,M
81,Varun Dhawan,35,M
82,Jacqueline Fernandez,37,F
83,David Hasselhoff,70,M
84,Pamela Anderson,55,F
85,Alia Bhat,29,F
86,Shahid Kapoor,41,M
87,Kiara Advani,30,F
88,Ranveer Singh,37,M
89,Katrina Kaif,39,F
90,Chritsian Bale,48,M
