Id,Name,Age,Gender
1,Ashutosh Gowariker,58,M
2,Steven Caple Jr.,34,M
3,Michael Bay,57,M
4,Travis Knight,49,M
5,Gore Verbinski,58,M
6,Mustan Burmawalla,57,M
7,Abbas Burmawalla,57,M
8,Ridley Scott,84,M
9,Judd Apatow,54,M
10,Madhur Bhandarkar,54,M
11,Kevin Lima,60,M
12,Josh Gordon,52,M
13,Will Speck,52,M
14,Mark Steven Johnson,58,M
15,Ravi Chopra,68,M
16,Aziz Mirza,75,M
17,Tom Vaughan,53,M
18,David Fincher,60,M
19,M. Night Shyamalan,52,M
20,David Ayer,54,M
21,Raj Kanwar,51,M
22,Nikkhil Advani,51,M
23,Jeff Wadlow,46,M
24,Drew Barrymore,47,M
25,Bill Duke,79,M
26,Louis Leterrier,49,M
27,Farhan Akhtar,48,M
28,James Mangold,58,M
29,Greg Strause,47,M
30,Colin Strause,46,M
31,Vivek Sharma,53,M
32,Aditya Chopra,51,M
33,Soham Shah,47,M
34,Rohit Shetty,48,M
35,Bhushan Patel,53,M
36,Joe Johnston,72,M
37,Kenneth Branagh,52,M
38,Nicolas Stoller,46,M
39,Marc Foster,52,M
40,Rajkumar Hirani,60,M
41,James Wan,45,M
42, Nishikant Kamat,50,M
43,Joss Whedon,58,M
44,Seth Gordon,52,M
45,Rohit Dhawan,38,M
46,Meghna Gulzar,48,F
47,Sandeep Reddy Vanga,44,M
48, Sam Hargrave,52,M
49,Taika Waititi,47,M
50,Abhishek Pathak,46,M
